,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-08-03,2012-10-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
LiabilitiesOfAssetsHeldForSale,,,,,,,,,1650000000.000,,,38000000.000,,,,,,,,,,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,,,,,,,21000000.000,1000000.000,10000000.000,1000000.000,2000000.000,,,,,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,1650000000.000,,,38000000.000,21000000.000,,,,,,32000000.000,28000000.000,35000000.000,30000000.000,
LiabilitiesSubjectToCompromise,,,,,,,2716000000.000,2746000000.000,2471000000.000,,,,,,,,,,,,,,
LiabilitiesSubjectToCompromiseAccountsPayableAndAccruedLiabilities,,,,,,,283000000.000,281000000.000,272000000.000,,,,,,,,,,,,,,
LiabilitiesSubjectToCompromiseDebtAndAccruedInterest,,,,,,,683000000.000,683000000.000,683000000.000,,,,,,,,,,,,,,
LiabilitiesSubjectToCompromiseEnvironmentalContingencies,,,,,,,,,103000000.000,,,,,,,,,,,,,,
LiabilitiesSubjectToCompromiseOtherLiabilities,,,,,,,255000000.000,231000000.000,175000000.000,,,,,,,,,,,,,,
LiabilitiesSubjectToCompromisePensionAndOtherPostretirementObligations,,,,,,,785000000.000,749000000.000,189000000.000,,,,,,,,,,,,,,
LiabilitiesSubjectToCompromiseProvisionForExpectedAndAllowedClaims,,,,,,,710000000.000,802000000.000,1049000000.000,,,,,,,,,,,,,,
LineOfCreditFacilityAmountOutstanding,,,,400000000.000,,,,,,,,,,,,,,,,,,,
LineOfCreditFacilityCurrentBorrowingCapacity,,,,,,,,29000000.000,21000000.000,,,,,,,,,,,,,,
LineOfCreditFacilityMaximumBorrowingCapacity,,,,,,,950000000.000,950000000.000,950000000.000,0.030,,,,,,,,,,,,,
LineOfCreditFacilityRemainingBorrowingCapacity,,,,,,,,,,49000000.000,,,,,,,,,,,,,
LongTermDebt,,1451000000.000,1566000000.000,1515000000.000,,,2122000000.000,,1241000000.000,679000000.000,678000000.000,,,,677000000.000,,,,,,,,
LongTermDebtAndCapitalLeaseObligationsIncludingCurrentMaturities,,,,,,,,,,,,,,,,,,,,,,407000000.000,
LongTermDebtAndCapitalLeaseObligationsMaturitiesRepaymentsOfPrincipalAfterYearFive,,,,,,,,,,,,,,,,,,,,,,2000000.000,
LongTermDebtAndCapitalLeaseObligationsMaturitiesRepaymentsOfPrincipalInYearThree,,,,,,,,,,,,,,,,,,,,,,393000000.000,
LongTermDebtAndCapitalLeaseObligationsMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,,,,,,,,,,,,,,,,,,7000000.000,
