,2011-04-01,2011-09-30,2011-12-30,2012-03-30,2012-06-29,2012-09-28,2012-12-28,2013-03-29,2013-06-28,2013-09-27,2013-12-27,2014-03-28,2014-06-27,2015-01-02,2015-04-03,2015-10-02,2016-01-01,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,,,,,,,,,,,,53000000.000,,,,23000000.000,,
PaymentsToAcquireAvailableForSaleSecurities,,254000000.000,,,,74000000.000,,,,87000000.000,,,,,,0.000,,,,,,
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,,36000000.000,,,,0.000,,,,,,0.000,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,218000000.000,,,,263000000.000,,,,161000000.000,,,,,,209000000.000,,,,140000000.000,,
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,,26000000.000,,,,157000000.000,,,,39000000.000,,,,,,40000000.000,,,,35000000.000,,
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,,87000000.000,,,,5000000.000,,,,32000000.000,,,,,,0.000,,,,1000000.000,,
ProceedsFromPaymentsForOtherFinancingActivities,,,,,,,,,,-4000000.000,,,,,,-4000000.000,,,,0.000,,
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,,214000000.000,,,,64000000.000,,,,49000000.000,,,,,,,,,,,,
ProceedsFromSaleOfOtherAssets,,,,,,,,,,0.000,,,,,,,,,,,,
ProceedsFromSaleOfOtherInvestments,,,,,,41000000.000,,,,,,,,,,,,,,,,
ProceedsFromSaleOfProductiveAssets,,8000000.000,,,,4000000.000,,,,0.000,,,,,,,,,,,,
ProductWarrantyAccrualAdditionsFromBusinessAcquisition,,,69000000.000,3000000.000,,3000000.000,0.000,0.000,0.000,0.000,0.000,0.000,3000000.000,0.000,0.000,0.000,2000000.000,0.000,,,0.000,0.000
ProductWarrantyAccrualPayments,53000000.000,58000000.000,67000000.000,87000000.000,72000000.000,84000000.000,-67000000.000,-59000000.000,318000000.000,58000000.000,61000000.000,55000000.000,54000000.000,46000000.000,45000000.000,41000000.000,40000000.000,37000000.000,,30000000.000,29000000.000,28000000.000
ProductWarrantyAccrualPreexistingIncreaseDecrease,-7000000.000,1000000.000,23000000.000,17000000.000,17000000.000,7000000.000,10000000.000,4000000.000,16000000.000,8000000.000,-5000000.000,-2000000.000,0.000,15000000.000,0.000,-15000000.000,3000000.000,-11000000.000,,9000000.000,1000000.000,-3000000.000
ProductWarrantyAccrualWarrantiesIssued,54000000.000,43000000.000,42000000.000,41000000.000,43000000.000,48000000.000,50000000.000,47000000.000,48000000.000,48000000.000,48000000.000,43000000.000,38000000.000,40000000.000,36000000.000,33000000.000,33000000.000,30000000.000,,31000000.000,34000000.000,32000000.000
